iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2020 1 0 0 -999.0 -2.89 39.83 -999.0 -999.0 11.98 83.79 0.36 99.73 0.0 0.0 -999.0 229.54 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 1 0 -999.0 -8.84 40.3 -999.0 -999.0 12.0 82.3 0.57 99.74 0.0 0.0 -999.0 228.17 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 2 0 -999.0 -10.0 37.83 -999.0 -999.0 11.44 81.95 0.66 99.7 0.0 0.0 -999.0 231.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 3 0 -999.0 -7.02 32.05 -999.0 -999.0 10.77 82.02 0.78 99.64 0.0 0.0 -999.0 245.76 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 4 0 -999.0 -7.84 31.15 -999.0 -999.0 11.77 81.56 0.98 99.59 0.0 0.0 -999.0 243.89 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 5 0 -999.0 -7.82 34.43 -999.0 -999.0 12.02 80.84 1.14 99.53 0.0 0.0 -999.0 258.68 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 6 0 -999.0 -11.25 34.61 -999.0 -999.0 11.94 80.21 1.51 99.53 0.0 0.0 -999.0 254.1 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 7 0 -999.0 -7.85 32.18 -999.0 -999.0 11.65 80.0 1.97 99.53 0.0 0.0 -999.0 278.38 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 8 0 -999.0 -7.35 30.27 -999.0 -999.0 11.94 80.38 2.18 99.56 0.0 2.08 -999.0 300.54 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 9 0 -999.0 -8.47 29.59 -999.0 -999.0 11.52 79.98 2.43 99.5 0.0 19.09 -999.0 296.15 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 10 0 -999.0 -10.28 26.29 -999.0 -999.0 11.17 83.11 2.48 99.44 0.0 49.52 -999.0 268.87 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 11 0 -999.0 -8.59 22.05 -999.0 -999.0 12.11 84.03 2.8 99.38 0.0 35.11 -999.0 303.27 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 12 0 -999.0 -15.03 21.3 -999.0 -999.0 13.83 84.43 3.16 99.34 0.0 37.53 -999.0 298.6 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 13 0 -999.0 -26.4 20.25 -999.0 -999.0 13.88 84.43 3.1 99.31 0.0 21.75 -999.0 269.23 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 14 0 -999.0 -26.82 21.5 -999.0 -999.0 14.21 83.33 3.15 99.29 0.0 0.59 -999.0 285.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 15 0 -999.0 -28.88 21.5 -999.0 -999.0 13.25 83.01 3.13 99.27 0.0 0.0 -999.0 268.36 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 16 0 -999.0 -29.76 20.36 -999.0 -999.0 13.75 83.94 2.95 99.27 0.0 0.0 -999.0 258.1 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 17 0 -999.0 -30.4 19.39 -999.0 -999.0 14.27 85.04 2.8 99.27 0.0 0.0 -999.0 247.54 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 18 0 -999.0 -29.61 19.05 -999.0 -999.0 14.48 86.04 2.78 99.2 0.0 0.0 -999.0 248.48 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 19 0 -999.0 -27.13 21.61 -999.0 -999.0 13.79 86.68 2.8 99.22 0.0 0.0 -999.0 243.55 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 20 0 -999.0 -27.27 17.51 -999.0 -999.0 13.46 86.68 2.91 99.15 0.0 0.0 -999.0 244.54 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 21 0 -999.0 -27.22 20.95 -999.0 -999.0 13.95 86.33 2.93 99.17 0.0 0.0 -999.0 258.56 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 22 0 -999.0 -26.73 21.02 -999.0 -999.0 13.41 85.88 2.84 99.05 0.0 0.0 -999.0 263.49 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 1 23 0 -999.0 -29.06 19.39 -999.0 -999.0 13.02 85.42 2.83 99.01 0.0 0.0 -999.0 246.28 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 0 0 -999.0 -27.5 20.87 -999.0 -999.0 13.4 84.09 2.94 98.99 0.0 0.0 -999.0 257.75 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 1 0 -999.0 -29.65 21.56 -999.0 -999.0 12.55 83.46 2.91 99.0 0.0 0.0 -999.0 254.47 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 2 0 -999.0 -27.18 20.42 -999.0 -999.0 11.95 82.79 2.91 98.98 0.0 0.0 -999.0 258.43 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 3 0 -999.0 -26.56 19.14 -999.0 -999.0 12.27 82.69 2.91 98.99 0.0 0.0 -999.0 258.57 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 4 0 -999.0 -26.77 17.72 -999.0 -999.0 11.92 83.33 2.88 99.03 0.0 0.0 -999.0 256.8 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 5 0 -999.0 -26.28 15.38 -999.0 -999.0 11.57 84.25 2.85 99.0 0.0 0.0 -999.0 249.35 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 6 0 -999.0 -25.46 13.99 -999.0 -999.0 12.21 84.69 2.91 99.04 0.0 0.0 -999.0 249.12 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 7 0 -999.0 -27.72 14.52 -999.0 -999.0 11.86 85.27 2.95 99.06 0.0 0.0 -999.0 251.05 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 8 0 -999.0 -26.11 12.43 -999.0 -999.0 10.98 85.87 3.02 99.07 0.0 3.32 -999.0 259.78 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 9 0 -999.0 -20.54 10.51 -999.0 -999.0 11.01 86.3 3.22 99.07 0.0 35.91 -999.0 253.49 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 10 0 -999.0 -18.81 8.85 -999.0 -999.0 11.97 88.41 3.44 99.09 0.0 68.77 -999.0 254.1 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 11 0 -999.0 -19.88 5.86 -999.0 -999.0 12.2 89.88 3.66 99.01 0.0 76.44 -999.0 260.5 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 12 0 -999.0 -22.61 3.87 -999.0 -999.0 13.48 90.28 3.78 98.97 0.0 59.47 -999.0 265.61 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 13 0 -999.0 -27.23 4.46 -999.0 -999.0 13.95 89.04 4.0 98.98 0.0 25.56 -999.0 287.77 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 14 0 -999.0 -38.03 3.77 -999.0 -999.0 13.88 88.35 4.03 98.93 0.0 0.89 -999.0 261.58 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 15 0 -999.0 -42.6 5.28 -999.0 -999.0 14.69 87.79 4.16 98.91 0.0 0.0 -999.0 258.77 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 16 0 -999.0 -47.65 6.78 -999.0 -999.0 15.93 87.02 4.37 98.91 0.0 0.0 -999.0 259.19 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 17 0 -999.0 -52.44 7.44 -999.0 -999.0 14.99 86.3 4.54 98.92 0.0 0.0 -999.0 259.93 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 18 0 -999.0 -55.43 8.06 -999.0 -999.0 15.39 85.85 4.6 98.89 0.0 0.0 -999.0 260.73 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 19 0 -999.0 -50.78 6.46 -999.0 -999.0 16.54 85.7 4.69 98.84 0.0 0.0 -999.0 259.15 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 20 0 -999.0 -54.49 8.09 -999.0 -999.0 17.06 85.87 4.71 98.82 0.0 0.0 -999.0 256.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 21 0 -999.0 -54.04 10.02 -999.0 -999.0 17.09 86.25 4.67 98.81 0.0 0.0 -999.0 257.08 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 22 0 -999.0 -53.16 10.82 -999.0 -999.0 16.18 86.3 4.49 98.78 0.0 0.0 -999.0 252.44 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2020 2 23 0 -999.0 -54.4 10.91 -999.0 -999.0 17.51 86.38 4.49 98.77 0.0 0.0 -999.0 245.05 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
