%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2020 214 0 0 -999.00 -7.31 44.70 -999.00 -999.00 8.07000 82.95 13.32 100.07 0.00 0.00 2020.00 332.04 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 214 1 0 -999.00 -4.01 50.45 -999.00 -999.00 8.36000 82.72 13.09 100.10 0.00 0.00 2020.00 349.53 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 214 2 0 -999.00 -3.36 54.58 -999.00 -999.00 8.38000 82.18 12.90 100.13 0.00 0.00 2020.00 349.37 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 214 3 0 -999.00 -0.21 61.14 -999.00 -999.00 8.26000 80.51 12.93 100.14 0.00 10.47 2020.00 357.51 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 214 4 0 -999.00 2.18 73.67 -999.00 -999.00 8.25000 76.94 13.43 100.18 0.00 58.90 2020.00 344.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 214 5 0 -999.00 7.70 93.90 -999.00 -999.00 8.34000 68.01 14.14 100.22 0.00 120.89 2020.00 350.59 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 214 6 0 -999.00 10.77 130.53 -999.00 -999.00 7.55000 63.46 14.66 100.22 0.00 176.53 2020.00 356.21 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 214 7 0 -999.00 36.57 114.34 -999.00 -999.00 7.41000 60.10 15.17 100.24 0.00 398.16 2020.00 320.30 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 214 8 0 -999.00 37.36 133.23 -999.00 -999.00 6.84000 57.43 15.70 100.26 0.00 473.57 2020.00 333.28 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 214 9 0 -999.00 29.96 127.87 -999.00 -999.00 5.01000 56.52 16.12 100.28 0.00 465.71 2020.00 347.15 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
