%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2020 183 0 0 -999.00 26.53 133.37 -999.00 -999.00 16.46000 91.69 14.51 97.95 1.70 0.00 2020.00 355.72 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 1 0 -999.00 22.88 133.49 -999.00 -999.00 16.04000 92.17 14.46 97.94 1.67 0.00 2020.00 335.82 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 2 0 -999.00 27.04 135.75 -999.00 -999.00 15.20000 92.23 14.12 97.91 1.29 6.18 2020.00 340.06 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 3 0 -999.00 35.82 138.17 -999.00 -999.00 15.66000 92.06 14.35 97.94 1.14 32.41 2020.00 356.58 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 4 0 -999.00 38.08 146.42 -999.00 -999.00 15.19000 90.81 14.37 97.92 0.76 79.46 2020.00 346.49 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 5 0 -999.00 43.05 167.69 -999.00 -999.00 14.95000 90.32 14.48 97.93 0.57 172.53 2020.00 339.31 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 6 0 -999.00 58.48 170.16 -999.00 -999.00 15.07000 89.55 14.65 97.95 0.20 255.00 2020.00 337.99 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 7 0 -999.00 63.47 168.70 -999.00 -999.00 14.97000 87.38 14.64 97.96 0.46 348.95 2020.00 353.28 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 8 0 -999.00 68.09 170.21 -999.00 -999.00 14.75000 83.30 14.97 97.97 0.25 381.78 2020.00 350.95 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 9 0 -999.00 68.91 164.28 -999.00 -999.00 14.60000 79.70 15.22 97.99 0.15 410.74 2020.00 344.96 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 10 0 -999.00 75.44 175.08 -999.00 -999.00 14.03000 80.15 15.14 98.05 0.11 442.55 2020.00 347.53 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 11 0 -999.00 89.94 195.17 -999.00 -999.00 13.85000 78.02 15.36 98.08 0.07 579.36 2020.00 350.32 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 12 0 -999.00 95.80 196.26 -999.00 -999.00 13.81000 76.55 15.65 98.14 0.01 637.16 2020.00 329.07 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 13 0 -999.00 64.91 176.64 -999.00 -999.00 14.35000 76.06 15.79 98.16 0.03 449.63 2020.00 344.61 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 14 0 -999.00 66.72 188.77 -999.00 -999.00 14.76000 73.75 16.53 98.19 0.04 532.06 2020.00 330.62 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 15 0 -999.00 28.86 173.60 -999.00 -999.00 14.69000 73.53 16.67 98.28 0.02 370.41 2020.00 329.53 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 16 0 -999.00 10.59 159.78 -999.00 -999.00 13.23000 73.86 16.67 98.33 0.14 297.19 2020.00 333.43 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 17 0 -999.00 0.87 142.05 -999.00 -999.00 13.22000 73.57 16.46 98.41 0.01 212.83 2020.00 330.63 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 18 0 -999.00 -4.86 120.01 -999.00 -999.00 12.60000 73.60 16.17 98.46 0.00 117.67 2020.00 330.94 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 19 0 -999.00 -0.70 105.63 -999.00 -999.00 11.40000 74.05 15.74 98.52 0.01 41.19 2020.00 331.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 20 0 -999.00 -1.54 92.51 -999.00 -999.00 10.01000 75.23 15.14 98.57 0.00 4.68 2020.00 337.57 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 21 0 -999.00 -0.30 82.71 -999.00 -999.00 8.99000 76.27 14.68 98.61 0.00 0.00 2020.00 326.33 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 22 0 -999.00 2.30 75.75 -999.00 -999.00 9.18000 81.81 13.98 98.66 0.00 0.00 2020.00 331.99 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 183 23 0 -999.00 5.96 69.02 -999.00 -999.00 7.72000 82.35 13.83 98.69 0.00 0.00 2020.00 354.59 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 0 0 -999.00 7.26 56.57 -999.00 -999.00 5.66000 83.39 13.65 98.71 0.01 0.00 2020.00 357.42 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 1 0 -999.00 7.80 44.20 -999.00 -999.00 4.39000 85.01 13.39 98.73 0.06 0.00 2020.00 357.07 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 2 0 -999.00 7.43 35.59 -999.00 -999.00 4.33000 84.20 13.47 98.77 0.13 5.32 2020.00 365.59 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 3 0 -999.00 6.42 33.95 -999.00 -999.00 4.83000 83.65 13.49 98.82 0.31 23.15 2020.00 373.62 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 4 0 -999.00 7.86 38.58 -999.00 -999.00 4.86000 83.07 13.49 98.85 0.74 43.20 2020.00 374.71 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 5 0 -999.00 15.91 57.84 -999.00 -999.00 4.53000 80.64 13.71 98.90 0.87 139.87 2020.00 367.95 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 6 0 -999.00 18.17 74.80 -999.00 -999.00 3.99000 78.91 14.05 98.95 0.85 168.45 2020.00 372.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 7 0 -999.00 30.36 92.39 -999.00 -999.00 3.03000 79.45 14.38 98.99 0.38 263.45 2020.00 351.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 8 0 -999.00 45.62 93.53 -999.00 -999.00 2.48000 80.91 14.39 99.04 0.05 412.56 2020.00 345.38 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 9 0 -999.00 55.29 98.39 -999.00 -999.00 2.24000 79.48 15.11 99.04 0.01 514.85 2020.00 339.37 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 10 0 -999.00 79.24 119.57 -999.00 -999.00 1.70000 68.58 15.38 99.07 0.00 665.20 2020.00 317.79 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 11 0 -999.00 85.71 131.50 -999.00 -999.00 3.59000 69.35 15.91 99.08 0.01 696.42 2020.00 312.92 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 12 0 -999.00 84.26 133.75 -999.00 -999.00 4.88000 71.32 16.09 99.10 0.01 679.04 2020.00 311.71 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 13 0 -999.00 79.61 130.05 -999.00 -999.00 4.56000 72.09 16.35 99.07 0.03 664.32 2020.00 317.55 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 14 0 -999.00 60.53 120.78 -999.00 -999.00 5.54000 73.72 16.50 99.08 0.02 584.10 2020.00 320.76 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 15 0 -999.00 33.22 95.74 -999.00 -999.00 6.30000 77.88 16.18 99.06 0.01 378.29 2020.00 337.77 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 16 0 -999.00 23.00 80.93 -999.00 -999.00 5.55000 84.07 15.64 99.01 0.28 259.49 2020.00 346.28 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 17 0 -999.00 10.75 60.18 -999.00 -999.00 5.71000 87.37 15.30 99.02 0.61 112.82 2020.00 358.68 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 18 0 -999.00 0.45 53.81 -999.00 -999.00 7.00000 88.99 15.18 98.96 0.86 42.10 2020.00 366.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 19 0 -999.00 -3.13 48.72 -999.00 -999.00 8.28000 92.31 14.97 98.93 0.36 12.91 2020.00 380.68 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 20 0 -999.00 -3.61 44.19 -999.00 -999.00 9.95000 92.90 15.07 98.90 0.30 2.23 2020.00 367.22 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 21 0 -999.00 -3.28 55.24 -999.00 -999.00 11.66000 92.73 15.12 98.91 0.54 0.00 2020.00 361.74 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 22 0 -999.00 -2.77 57.31 -999.00 -999.00 10.04000 91.09 14.77 98.90 0.07 0.00 2020.00 341.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 184 23 0 -999.00 -1.63 56.45 -999.00 -999.00 11.02000 90.13 14.75 98.93 0.03 0.00 2020.00 341.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 185 0 0 -999.00 -6.92 54.55 -999.00 -999.00 11.49000 89.14 14.72 98.95 0.04 0.00 2020.00 319.74 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 185 1 0 -999.00 -9.37 54.69 -999.00 -999.00 11.42000 89.35 14.94 98.99 0.04 0.00 2020.00 336.93 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 185 2 0 -999.00 -12.14 57.55 -999.00 -999.00 10.82000 86.22 15.23 99.00 0.06 9.11 2020.00 328.18 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 185 3 0 -999.00 -13.18 79.71 -999.00 -999.00 10.72000 81.16 15.40 99.04 0.03 50.16 2020.00 332.74 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 185 4 0 -999.00 -12.85 118.01 -999.00 -999.00 11.01000 76.58 15.59 99.08 0.01 124.02 2020.00 333.54 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 185 5 0 -999.00 -2.14 149.97 -999.00 -999.00 11.70000 72.22 15.93 99.16 0.02 266.65 2020.00 311.12 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
