%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2020 153 0 0 -999.00 -9.96 10.28 -999.00 -999.00 4.36000 79.33 10.43 101.15 0.00 0.00 2020.00 301.45 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 153 1 0 -999.00 -13.48 13.23 -999.00 -999.00 5.76000 78.90 10.18 101.13 0.00 0.00 2020.00 286.23 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 153 2 0 -999.00 -15.81 18.64 -999.00 -999.00 6.95000 77.38 10.22 101.11 0.00 9.50 2020.00 286.71 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 153 3 0 -999.00 -10.73 25.38 -999.00 -999.00 7.28000 75.65 10.68 101.13 0.00 64.11 2020.00 297.52 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 153 4 0 -999.00 2.44 30.27 -999.00 -999.00 7.06000 72.76 11.42 101.11 0.00 136.66 2020.00 327.52 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 153 5 0 -999.00 6.36 32.52 -999.00 -999.00 6.69000 71.78 11.86 101.14 0.00 177.69 2020.00 319.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 153 6 0 -999.00 17.00 35.36 -999.00 -999.00 5.59000 70.56 12.13 101.15 0.00 226.85 2020.00 339.79 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 153 7 0 -999.00 32.04 43.76 -999.00 -999.00 4.57000 69.54 12.47 101.16 0.00 326.99 2020.00 347.16 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 153 8 0 -999.00 42.81 48.16 -999.00 -999.00 4.02000 67.70 12.90 101.15 0.00 381.63 2020.00 344.57 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 153 9 0 -999.00 44.13 49.35 -999.00 -999.00 4.37000 67.47 13.04 101.15 0.00 338.97 2020.00 351.79 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 153 10 0 -999.00 45.39 55.23 -999.00 -999.00 6.03000 67.81 12.79 101.14 0.00 386.71 2020.00 351.95 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
