%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2020 122 0 0 -999.00 -5.96 24.60 -999.00 -999.00 8.37000 79.61 1.57 100.09 0.00 0.00 2020.00 236.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 1 0 -999.00 -6.31 24.65 -999.00 -999.00 8.50000 80.60 1.52 100.10 0.00 0.00 2020.00 239.49 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 2 0 -999.00 -6.99 24.81 -999.00 -999.00 8.82000 81.43 1.51 100.07 0.00 0.00 2020.00 245.75 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 3 0 -999.00 -7.39 25.45 -999.00 -999.00 9.23000 81.63 1.73 100.07 0.00 8.87 2020.00 245.14 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 4 0 -999.00 -3.00 28.74 -999.00 -999.00 9.78000 79.37 2.50 100.01 0.00 79.21 2020.00 237.49 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 5 0 -999.00 10.20 37.63 -999.00 -999.00 10.32000 74.48 3.61 100.01 0.00 175.33 2020.00 260.48 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 6 0 -999.00 19.94 49.80 -999.00 -999.00 11.05000 70.13 4.40 99.98 0.00 250.13 2020.00 263.45 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 7 0 -999.00 44.33 70.48 -999.00 -999.00 11.35000 66.55 5.05 99.98 0.00 383.10 2020.00 275.89 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 8 0 -999.00 38.71 68.06 -999.00 -999.00 11.72000 65.34 5.52 99.93 0.00 302.84 2020.00 294.96 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 9 0 -999.00 36.75 68.97 -999.00 -999.00 12.03000 63.42 6.10 99.90 0.00 299.33 2020.00 307.99 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 10 0 -999.00 49.61 78.52 -999.00 -999.00 12.83000 62.86 6.46 99.86 0.00 434.66 2020.00 308.61 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 11 0 -999.00 41.69 81.51 -999.00 -999.00 13.80000 60.59 6.96 99.83 0.00 467.96 2020.00 304.74 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 12 0 -999.00 18.73 76.54 -999.00 -999.00 14.12000 58.98 7.19 99.79 0.00 380.09 2020.00 317.73 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 13 0 -999.00 12.87 77.83 -999.00 -999.00 14.04000 58.59 7.23 99.76 0.00 364.32 2020.00 312.21 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 14 0 -999.00 7.00 77.71 -999.00 -999.00 14.09000 59.12 7.10 99.70 0.00 327.87 2020.00 306.41 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 15 0 -999.00 -6.39 67.08 -999.00 -999.00 14.22000 60.99 6.83 99.68 0.00 245.91 2020.00 299.67 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 16 0 -999.00 -16.17 55.17 -999.00 -999.00 13.80000 62.11 6.64 99.64 0.07 165.56 2020.00 300.47 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 17 0 -999.00 -32.61 51.63 -999.00 -999.00 13.75000 65.16 6.34 99.61 0.15 72.38 2020.00 300.01 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 18 0 -999.00 -39.03 46.28 -999.00 -999.00 13.24000 66.46 6.23 99.60 0.08 8.66 2020.00 314.13 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 19 0 -999.00 -45.79 52.56 -999.00 -999.00 12.83000 66.70 6.21 99.58 0.21 0.42 2020.00 304.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 20 0 -999.00 -48.89 45.69 -999.00 -999.00 12.59000 65.04 6.38 99.54 0.00 0.00 2020.00 286.76 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 21 0 -999.00 -52.51 43.66 -999.00 -999.00 13.18000 63.42 6.43 99.50 0.00 0.00 2020.00 275.25 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2020 122 22 0 -999.00 -56.15 42.76 -999.00 -999.00 14.46000 61.79 6.60 99.47 0.00 0.00 2020.00 269.96 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
