%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2019 172 0 0 -999.00 -27.60 -1.62 -999.00 -999.00 8.33000 84.65 16.09 99.55 0.00 0.00 -999.00 355.35 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 1 0 -999.00 -21.87 -2.12 -999.00 -999.00 7.86000 87.68 15.63 99.56 0.00 0.00 -999.00 345.21 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 2 0 -999.00 -17.60 -3.07 -999.00 -999.00 6.72000 89.35 15.54 99.54 0.00 14.05 -999.00 344.83 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 3 0 -999.00 -9.90 -2.25 -999.00 -999.00 6.07000 89.15 15.89 99.52 0.00 73.71 -999.00 342.26 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 4 0 -999.00 5.68 1.06 -999.00 -999.00 6.67000 88.63 16.22 99.52 0.00 166.81 -999.00 345.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 5 0 -999.00 22.62 4.95 -999.00 -999.00 7.04000 87.56 16.69 99.53 0.00 264.46 -999.00 342.49 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 6 0 -999.00 42.99 10.00 -999.00 -999.00 7.50000 85.96 17.32 99.53 0.00 362.09 -999.00 345.37 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 7 0 -999.00 54.41 14.91 -999.00 -999.00 7.44000 84.56 17.75 99.54 0.00 415.66 -999.00 359.79 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 8 0 -999.00 82.06 20.22 -999.00 -999.00 7.09000 82.91 18.20 99.55 0.00 505.70 -999.00 363.13 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 9 0 -999.00 100.48 24.51 -999.00 -999.00 8.10000 80.12 18.58 99.58 0.00 567.48 -999.00 366.19 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 10 0 -999.00 123.96 32.00 -999.00 -999.00 8.22000 77.54 18.57 99.60 0.00 714.65 -999.00 350.47 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 11 0 -999.00 127.74 38.68 -999.00 -999.00 8.94000 74.52 18.70 99.60 0.00 744.49 -999.00 347.48 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 12 0 -999.00 123.83 41.94 -999.00 -999.00 10.08000 71.27 19.16 99.58 0.00 740.44 -999.00 341.94 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 13 0 -999.00 91.88 36.71 -999.00 -999.00 11.27000 72.18 19.03 99.58 0.00 648.46 -999.00 345.78 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 14 0 -999.00 83.40 36.55 -999.00 -999.00 12.19000 71.67 18.95 99.60 0.00 600.69 -999.00 339.24 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 15 0 -999.00 50.36 37.93 -999.00 -999.00 12.70000 68.65 18.56 99.59 0.00 476.53 -999.00 332.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2019 172 16 0 -999.00 34.17 45.65 -999.00 -999.00 12.76000 65.47 18.24 99.61 0.00 383.04 -999.00 323.15 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
